id_order;reference;id_customer;total_paid;payment;current_state;date_add
8395;EUZYPIDLJ;44523;153820.000000;"Webpay Plus REST";15;"2025-06-23 15:26:12"
8394;HYJUBXXNH;44522;245900.000000;"Webpay Plus REST";15;"2025-06-23 13:38:52"
8393;ZUFTGKIHM;40217;64200.000000;"Pagos por transferencia bancaria";15;"2025-06-23 11:09:47"
8392;XDWNSATDP;43729;143400.000000;"Webpay Plus REST";15;"2025-06-23 08:33:09"
8391;WQYFNKRSP;34837;325900.000000;"Webpay Plus REST";2;"2025-06-23 00:23:33"
8390;UNSHDFSQN;38593;301000.000000;"Webpay Plus REST";2;"2025-06-22 22:49:35"
8389;DFTURLUBE;12313;378300.000000;"Webpay Plus REST";2;"2025-06-22 22:08:02"
8388;EMLKFCRVR;19189;169000.000000;"Webpay Plus REST";15;"2025-06-22 21:36:12"
8387;VOJJROSVX;43213;61878.000000;"Webpay Plus REST";15;"2025-06-22 20:58:51"
8386;TBUMPIZSZ;43480;134500.000000;"Webpay Plus REST";15;"2025-06-22 20:02:14"
8385;DJHVKQDMF;41788;133000.000000;"Webpay Plus REST";15;"2025-06-22 19:43:40"
8384;CZAJHSPEH;21043;115600.000000;"Webpay Plus REST";15;"2025-06-22 19:41:43"
8383;SOWSFNEQD;30903;280400.000000;"Webpay Plus REST";15;"2025-06-22 18:51:26"
8382;FFCEOCQZZ;37920;71483.000000;"Webpay Plus REST";15;"2025-06-22 18:30:12"
8381;KTOBIQIJU;28804;265900.000000;"Webpay Plus REST";15;"2025-06-22 18:24:53"
8380;PUBBGTVDL;24330;500600.000000;"Webpay Plus REST";2;"2025-06-22 16:52:18"
8379;MJGONHZEI;44519;50800.000000;"Pagos por transferencia bancaria";2;"2025-06-22 15:55:41"
8378;RYXRDCXVY;44518;51800.000000;"Pagos por transferencia bancaria";10;"2025-06-22 15:45:16"
8377;JVYIYESYG;44139;58448.000000;"Webpay Plus REST";15;"2025-06-22 15:20:38"
8376;DQHLCJKFK;27743;100500.000000;"Webpay Plus REST";15;"2025-06-22 13:47:30"
8375;DLCCRCHVW;39105;73502.000000;"Webpay Plus REST";15;"2025-06-22 08:10:42"
8374;SSQDGTYWV;44515;69235.000000;"Pagos por transferencia bancaria";15;"2025-06-22 05:39:08"
8373;YJAGEQAFO;44449;63839.000000;"Webpay Plus REST";15;"2025-06-22 01:31:04"
8372;CXIMFBYSD;44514;54300.000000;"Webpay Plus REST";2;"2025-06-22 01:04:16"
8371;DXZKEVMXI;44491;142000.000000;"Webpay Plus REST";15;"2025-06-21 22:59:29"
8370;NMHDIAZTY;43778;138500.000000;"Webpay Plus REST";15;"2025-06-21 21:38:03"
8369;BLLRYOEFC;38529;90161.000000;"Webpay Plus REST";15;"2025-06-21 19:15:01"
8368;JKXQTBQPV;44510;100400.000000;"Webpay Plus REST";15;"2025-06-21 18:17:22"
8367;ZUHUWUJPV;43173;55615.000000;"Webpay Plus REST";15;"2025-06-21 16:01:29"
8366;NSARVVNWW;44185;51800.000000;"Webpay Plus REST";2;"2025-06-21 14:39:39"
8365;BZYFNMYYC;44205;248700.000000;"Webpay Plus REST";15;"2025-06-21 13:57:15"
8364;PXXZNIGEL;11875;100400.000000;"Webpay Plus REST";15;"2025-06-21 12:49:19"
8363;BTKRRWZPD;39729;366300.000000;"Webpay Plus REST";2;"2025-06-21 10:33:44"
8362;ETNDTGTIQ;38921;57735.000000;"Webpay Plus REST";15;"2025-06-21 09:34:04"
8361;CCSXNDTHC;44505;102700.000000;"Webpay Plus REST";15;"2025-06-20 23:22:09"
8360;NERDGXRRV;38665;63602.000000;"Pagos por transferencia bancaria";15;"2025-06-20 23:03:33"
8359;DXQKTSJXS;22374;174800.000000;"Webpay Plus REST";15;"2025-06-20 22:16:42"
8358;KNOZFCGVA;26859;150900.000000;"Webpay Plus REST";15;"2025-06-20 20:46:26"
8357;VORNWDCZZ;44494;72100.000000;"Webpay Plus REST";2;"2025-06-20 19:57:09"
8356;TKOYUXNVK;44500;91183.000000;"Webpay Plus REST";15;"2025-06-20 16:17:43"
8355;PQZWYHWOU;44497;119100.000000;"Webpay Plus REST";15;"2025-06-20 12:26:02"
8354;MWFTLYHTE;15288;302500.000000;"Webpay Plus REST";2;"2025-06-19 17:59:54"
8353;GWJYVWRWM;35570;59677.000000;"Webpay Plus REST";15;"2025-06-19 17:13:29"
8352;MHMFNJEDC;44490;55700.000000;"Webpay Plus REST";4;"2025-06-19 16:25:31"
8351;PZFHWNXYO;21979;115200.000000;"Pagos por transferencia bancaria";4;"2025-06-19 12:38:49"
8350;AOFPCOXMO;44486;142400.000000;"Webpay Plus REST";4;"2025-06-19 12:37:22"
8349;QTANAMDAL;35151;101161.000000;"Webpay Plus REST";4;"2025-06-19 11:54:31"
8348;XSKSOFNPH;44482;55000.000000;"Pagos por transferencia bancaria";4;"2025-06-19 10:50:35"
8347;TWYBHJLFV;33406;67802.000000;"Webpay Plus REST";4;"2025-06-19 10:17:14"
8346;CGSFKWGIY;39939;101100.000000;"Webpay Plus REST";4;"2025-06-19 10:05:24"
8345;BJPBYTYDN;44466;106600.000000;"Webpay Plus REST";4;"2025-06-19 09:44:01"
8344;TCJNJJIVC;44480;59440.000000;"Webpay Plus REST";4;"2025-06-19 09:35:22"
8343;IYIAMXVOS;34078;134100.000000;"Webpay Plus REST";4;"2025-06-19 00:29:22"
8342;HZCFUKEHL;11875;103300.000000;"Webpay Plus REST";4;"2025-06-18 23:10:12"
8341;EFPNGKOPT;37222;194100.000000;"Webpay Plus REST";4;"2025-06-18 22:06:43"
8340;WJNAAALXY;11650;205300.000000;"Webpay Plus REST";4;"2025-06-18 19:38:12"
8339;ABNKZQIIV;35846;154600.000000;"Webpay Plus REST";4;"2025-06-18 19:26:34"
8338;ZSOBHOCOU;32293;109100.000000;"Pagos por transferencia bancaria";4;"2025-06-18 18:14:18"
8337;TGKNUWVZO;22717;110000.000000;"Webpay Plus REST";4;"2025-06-18 16:39:08"
8336;SGYGDJEWR;40968;128200.000000;"Webpay Plus REST";4;"2025-06-18 16:07:55"
8335;GDTPXHFUL;31385;182800.000000;"Pagos por transferencia bancaria";4;"2025-06-18 15:19:35"
8334;TGLOAGXEL;2056;481800.000000;"Webpay Plus REST";4;"2025-06-18 15:10:19"
8333;KPWPKLUCV;44470;78802.000000;"Webpay Plus REST";4;"2025-06-18 14:27:09"
8332;JTJBOLALQ;12356;138000.000000;"Pagos por transferencia bancaria";4;"2025-06-18 12:40:57"
8331;UPBFOFCYS;16733;195900.000000;"Pagos por transferencia bancaria";4;"2025-06-18 11:38:33"
8330;VABUJCWBE;39008;582600.000000;"Webpay Plus REST";4;"2025-06-18 11:21:22"
8329;HZLSORILT;20807;166200.000000;"Webpay Plus REST";4;"2025-06-18 10:03:03"
8328;QJRKBNRFL;16842;101300.000000;"Pagos por transferencia bancaria";4;"2025-06-18 09:55:50"
8327;CSQAMPSMD;44097;107600.000000;"Webpay Plus REST";4;"2025-06-18 07:53:00"
